SOCCode	Element_ID	Element_Name	average_scale	TOT_EMP	major_occ	annual_earnings	scale_SOCrank	SOCTitle	jobzone	scale_rank
13-1131	1.C.1.b	Persistence	90.600004196	62,720	Business and financial operations	52970		Fundraisers	4	0
13-1131	1.C.1.c	Initiative	90.600004196	62,720	Business and financial operations	52970		Fundraisers	4	0
13-1131	1.C.2.b	Leadership	85	62,720	Business and financial operations	52970		Fundraisers	4	0
13-1131	1.C.3.a	Cooperation	90	62,720	Business and financial operations	52970		Fundraisers	4	0
13-1131	1.C.3.b	Concern for Others	88.199996948	62,720	Business and financial operations	52970		Fundraisers	4	0
13-1131	1.C.3.c	Social Orientation	81.800003052	62,720	Business and financial operations	52970		Fundraisers	4	0
13-1131	1.C.4.a	Self Control	81.800003052	62,720	Business and financial operations	52970		Fundraisers	4	1
13-1131	1.C.4.b	Stress Tolerance	82.399997711	62,720	Business and financial operations	52970		Fundraisers	4	2
13-1131	1.C.4.c	Adaptability/Flexibility	83.800001144	62,720	Business and financial operations	52970		Fundraisers	4	1
13-1131	1.C.5.a	Dependability	92.399997711	62,720	Business and financial operations	52970		Fundraisers	4	1
13-1131	1.C.5.b	Attention to Detail	90.600004196	62,720	Business and financial operations	52970		Fundraisers	4	1
13-1131	1.C.5.c	Integrity	98.199996948	62,720	Business and financial operations	52970		Fundraisers	4	0
13-1131	1.C.6	Independence	81.199998856	62,720	Business and financial operations	52970		Fundraisers	4	1
13-1131	1.C.7.a	Innovation	69.000000954	62,720	Business and financial operations	52970		Fundraisers	4	3
13-1131	1.C.7.b	Analytical Thinking	75.599999428	62,720	Business and financial operations	52970		Fundraisers	4	3
13-1141	1.C.1.a	Achievement/Effort	78.000001907	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.1.b	Persistence	76.999998093	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	3
13-1141	1.C.1.c	Initiative	80	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	3
13-1141	1.C.2.b	Leadership	74.000000954	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.3.a	Cooperation	81.000003815	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.3.b	Concern for Others	70.999999046	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.3.c	Social Orientation	63.000001907	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.4.a	Self Control	75	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	3
13-1141	1.C.4.b	Stress Tolerance	70	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	3
13-1141	1.C.4.c	Adaptability/Flexibility	81.000003815	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.5.a	Dependability	83.000001907	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	3
13-1141	1.C.5.b	Attention to Detail	86.999998093	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.5.c	Integrity	91.000003815	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.6	Independence	73.000001907	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	3
13-1141	1.C.7.a	Innovation	74.000000954	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	2
13-1141	1.C.7.b	Analytical Thinking	88.999996185	79,780	Business and financial operations	60850		Compensation, Benefits, and Job Analysis Specialists	4	1
13-1151	1.C.1.a	Achievement/Effort	83.800001144	254,060	Business and financial operations	58210		Training and Development Specialists	4	0
13-1151	1.C.1.b	Persistence	81.199998856	254,060	Business and financial operations	58210		Training and Development Specialists	4	2
13-1151	1.C.1.c	Initiative	91.199998856	254,060	Business and financial operations	58210		Training and Development Specialists	4	0
13-1151	1.C.2.b	Leadership	80.600004196	254,060	Business and financial operations	58210		Training and Development Specialists	4	1
13-1151	1.C.3.a	Cooperation	91.199998856	254,060	Business and financial operations	58210		Training and Development Specialists	4	0
13-1151	1.C.3.b	Concern for Others	82.79999733	254,060	Business and financial operations	58210		Training and Development Specialists	4	1
13-1151	1.C.3.c	Social Orientation	80	254,060	Business and financial operations	58210		Training and Development Specialists	4	0
13-1151	1.C.4.a	Self Control	85	254,060	Business and financial operations	58210		Training and Development Specialists	4	1
13-1151	1.C.4.b	Stress Tolerance	80	254,060	Business and financial operations	58210		Training and Development Specialists	4	2
13-1151	1.C.4.c	Adaptability/Flexibility	88.400001526	254,060	Business and financial operations	58210		Training and Development Specialists	4	0
13-1151	1.C.5.a	Dependability	91.199998856	254,060	Business and financial operations	58210		Training and Development Specialists	4	1
13-1151	1.C.5.b	Attention to Detail	86.599998474	254,060	Business and financial operations	58210		Training and Development Specialists	4	2
13-1151	1.C.5.c	Integrity	88.800001144	254,060	Business and financial operations	58210		Training and Development Specialists	4	2
13-1151	1.C.6	Independence	81.199998856	254,060	Business and financial operations	58210		Training and Development Specialists	4	1
13-1151	1.C.7.a	Innovation	79.400000572	254,060	Business and financial operations	58210		Training and Development Specialists	4	1
13-1151	1.C.7.b	Analytical Thinking	78.800001144	254,060	Business and financial operations	58210		Training and Development Specialists	4	2
13-1161	1.C.1.a	Achievement/Effort	85.799999237	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	0
13-1161	1.C.1.b	Persistence	85.799999237	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	0
13-1161	1.C.1.c	Initiative	88.400001526	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	0
13-1161	1.C.2.b	Leadership	77.600002289	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	1
13-1161	1.C.3.a	Cooperation	85.799999237	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	1
13-1161	1.C.3.b	Concern for Others	67.600002289	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	2
13-1161	1.C.3.c	Social Orientation	60	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	2
13-1161	1.C.4.a	Self Control	79.200000763	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	2
13-1161	1.C.4.b	Stress Tolerance	84.200000763	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	1
13-1161	1.C.4.c	Adaptability/Flexibility	80.799999237	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	2
13-1161	1.C.5.a	Dependability	86.599998474	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	3
13-1161	1.C.5.b	Attention to Detail	92.399997711	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	1
13-1161	1.C.5.c	Integrity	94.200000763	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	1
13-1161	1.C.6	Independence	84.200000763	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	0
13-1161	1.C.7.a	Innovation	78.400001526	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	1
13-1161	1.C.7.b	Analytical Thinking	93.400001526	506,420	Business and financial operations	62150		Market Research Analysts and Marketing Specialists	4	0
13-1199	1.C.1.a	Achievement/Effort	77.366666794	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	3
13-1199	1.C.1.b	Persistence	79.399998983	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.1.c	Initiative	84.866665999	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	1
13-1199	1.C.2.b	Leadership	75.166666508	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.3.a	Cooperation	82.133333683	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.3.b	Concern for Others	70.566666126	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.3.c	Social Orientation	64.533333778	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.4.a	Self Control	77.16666619	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.4.b	Stress Tolerance	76.433333556	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	3
13-1199	1.C.4.c	Adaptability/Flexibility	81.000001431	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.5.a	Dependability	87.733332316	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.5.b	Attention to Detail	88.066666921	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.5.c	Integrity	90.366667112	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.6	Independence	75.09999911	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.7.a	Innovation	70	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-1199	1.C.7.b	Analytical Thinking	79.866667589	926,610	Business and financial operations	68170		Business Operations Specialists, All Other	4	2
13-2011	1.C.1.a	Achievement/Effort	81.999998093	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	1
13-2011	1.C.1.b	Persistence	83.099999428	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	1
13-2011	1.C.1.c	Initiative	82.5	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	2
13-2011	1.C.2.b	Leadership	76.500000954	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	2
13-2011	1.C.3.a	Cooperation	81.700000763	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	2
13-2011	1.C.3.b	Concern for Others	67.999999523	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	2
13-2011	1.C.3.c	Social Orientation	62.200000286	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	2
13-2011	1.C.4.a	Self Control	80.499999523	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	2
13-2011	1.C.4.b	Stress Tolerance	82.399997711	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	2
13-2011	1.C.4.c	Adaptability/Flexibility	76.900000572	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	3
13-2011	1.C.5.a	Dependability	87.899999619	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	2
13-2011	1.C.5.b	Attention to Detail	95.29999733	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	0
13-2011	1.C.5.c	Integrity	96.999998093	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	0
13-2011	1.C.6	Independence	80.300002098	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	1
13-2011	1.C.7.a	Innovation	68.099999428	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	3
13-2011	1.C.7.b	Analytical Thinking	90.29999733	1,226,910	Business and financial operations	67190		Accountants and Auditors	4	0
13-2021	1.C.1.a	Achievement/Effort	72.300000191	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.1.b	Persistence	73.999998569	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.1.c	Initiative	75.799999237	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.2.b	Leadership	60.799999237	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.3.a	Cooperation	73.699998856	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.3.b	Concern for Others	60.899999142	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.3.c	Social Orientation	55.499999523	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.4.a	Self Control	77.699999809	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	2
13-2021	1.C.4.b	Stress Tolerance	78.299999237	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	2
13-2021	1.C.4.c	Adaptability/Flexibility	71.100001335	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.5.a	Dependability	82.300000191	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.5.b	Attention to Detail	89.800000191	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	2
13-2021	1.C.5.c	Integrity	93.800001144	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	1
13-2021	1.C.6	Independence	80.400002003	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	1
13-2021	1.C.7.a	Innovation	58.79999876	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	3
13-2021	1.C.7.b	Analytical Thinking	83.199999332	60,290	Business and financial operations	51860		Appraisers and Assessors of Real Estate	4	2
13-2031	1.C.1.a	Achievement/Effort	81.599998474	56,300	Business and financial operations	71590		Budget Analysts	4	1
13-2031	1.C.1.b	Persistence	83.400001526	56,300	Business and financial operations	71590		Budget Analysts	4	1
13-2031	1.C.1.c	Initiative	83.800001144	56,300	Business and financial operations	71590		Budget Analysts	4	2
13-2031	1.C.2.b	Leadership	80.600004196	56,300	Business and financial operations	71590		Budget Analysts	4	1
13-2031	1.C.3.a	Cooperation	87.399997711	56,300	Business and financial operations	71590		Budget Analysts	4	1
13-2031	1.C.3.b	Concern for Others	70.999999046	56,300	Business and financial operations	71590		Budget Analysts	4	2
13-2031	1.C.3.c	Social Orientation	71.999998093	56,300	Business and financial operations	71590		Budget Analysts	4	1
13-2031	1.C.4.a	Self Control	80.200004578	56,300	Business and financial operations	71590		Budget Analysts	4	2
13-2031	1.C.4.b	Stress Tolerance	81.800003052	56,300	Business and financial operations	71590		Budget Analysts	4	2
13-2031	1.C.4.c	Adaptability/Flexibility	80.600004196	56,300	Business and financial operations	71590		Budget Analysts	4	2
13-2031	1.C.5.a	Dependability	91.199998856	56,300	Business and financial operations	71590		Budget Analysts	4	1
13-2031	1.C.5.b	Attention to Detail	97.79999733	56,300	Business and financial operations	71590		Budget Analysts	4	0
13-2031	1.C.5.c	Integrity	92.600002289	56,300	Business and financial operations	71590		Budget Analysts	4	1
13-2031	1.C.6	Independence	83.000001907	56,300	Business and financial operations	71590		Budget Analysts	4	1
13-2031	1.C.7.a	Innovation	67.600002289	56,300	Business and financial operations	71590		Budget Analysts	4	3
13-2031	1.C.7.b	Analytical Thinking	91.199998856	56,300	Business and financial operations	71590		Budget Analysts	4	0
13-2041	1.C.1.a	Achievement/Effort	74.000000954	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.1.b	Persistence	75.999999046	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.1.c	Initiative	78.600001335	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.2.b	Leadership	63.400001526	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.3.a	Cooperation	75.999999046	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.3.b	Concern for Others	62.600002289	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.3.c	Social Orientation	58.000001907	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.4.a	Self Control	81.999998093	70,840	Business and financial operations	69680		Credit Analysts	4	1
13-2041	1.C.4.b	Stress Tolerance	80.600004196	70,840	Business and financial operations	69680		Credit Analysts	4	2
13-2041	1.C.4.c	Adaptability/Flexibility	73.400001526	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.5.a	Dependability	86.599998474	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.5.b	Attention to Detail	90.600004196	70,840	Business and financial operations	69680		Credit Analysts	4	1
13-2041	1.C.5.c	Integrity	91.999998093	70,840	Business and financial operations	69680		Credit Analysts	4	1
13-2041	1.C.6	Independence	73.400001526	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.7.a	Innovation	51.999998093	70,840	Business and financial operations	69680		Credit Analysts	4	3
13-2041	1.C.7.b	Analytical Thinking	88.599996567	70,840	Business and financial operations	69680		Credit Analysts	4	1
13-2051	1.C.1.a	Achievement/Effort	84.799995422	268,360	Business and financial operations	80310		Financial Analysts	4	0
13-2051	1.C.1.b	Persistence	91.999998093	268,360	Business and financial operations	80310		Financial Analysts	4	0
13-2051	1.C.1.c	Initiative	90.399999619	268,360	Business and financial operations	80310		Financial Analysts	4	0
13-2051	1.C.2.b	Leadership	77.800002098	268,360	Business and financial operations	80310		Financial Analysts	4	1
13-2051	1.C.3.a	Cooperation	81.800003052	268,360	Business and financial operations	80310		Financial Analysts	4	2
13-2051	1.C.3.b	Concern for Others	69.200000763	268,360	Business and financial operations	80310		Financial Analysts	4	2
13-2051	1.C.3.c	Social Orientation	64.400000572	268,360	Business and financial operations	80310		Financial Analysts	4	2
13-2051	1.C.4.a	Self Control	80.399999619	268,360	Business and financial operations	80310		Financial Analysts	4	2
13-2051	1.C.4.b	Stress Tolerance	93.199996948	268,360	Business and financial operations	80310		Financial Analysts	4	0
13-2051	1.C.4.c	Adaptability/Flexibility	91.400003433	268,360	Business and financial operations	80310		Financial Analysts	4	0
13-2051	1.C.5.a	Dependability	92.399997711	268,360	Business and financial operations	80310		Financial Analysts	4	1
13-2051	1.C.5.b	Attention to Detail	99.200000763	268,360	Business and financial operations	80310		Financial Analysts	4	0
13-2051	1.C.5.c	Integrity	91.999998093	268,360	Business and financial operations	80310		Financial Analysts	4	1
13-2051	1.C.6	Independence	68.200001717	268,360	Business and financial operations	80310		Financial Analysts	4	3
13-2051	1.C.7.a	Innovation	64.200000763	268,360	Business and financial operations	80310		Financial Analysts	4	3
13-2051	1.C.7.b	Analytical Thinking	91.400003433	268,360	Business and financial operations	80310		Financial Analysts	4	0
13-2052	1.C.1.a	Achievement/Effort	83.599996567	197,580	Business and financial operations	89160		Personal Financial Advisors	4	1
13-2052	1.C.1.b	Persistence	87.20000267	197,580	Business and financial operations	89160		Personal Financial Advisors	4	0
13-2052	1.C.1.c	Initiative	83.599996567	197,580	Business and financial operations	89160		Personal Financial Advisors	4	2
13-2052	1.C.2.b	Leadership	80	197,580	Business and financial operations	89160		Personal Financial Advisors	4	1
13-2052	1.C.3.a	Cooperation	80	197,580	Business and financial operations	89160		Personal Financial Advisors	4	3
13-2052	1.C.3.b	Concern for Others	87.79999733	197,580	Business and financial operations	89160		Personal Financial Advisors	4	0
13-2052	1.C.3.c	Social Orientation	70.799999237	197,580	Business and financial operations	89160		Personal Financial Advisors	4	1
13-2052	1.C.4.a	Self Control	84.200000763	197,580	Business and financial operations	89160		Personal Financial Advisors	4	1
13-2052	1.C.4.b	Stress Tolerance	81.400003433	197,580	Business and financial operations	89160		Personal Financial Advisors	4	2
13-2052	1.C.4.c	Adaptability/Flexibility	77.199997902	197,580	Business and financial operations	89160		Personal Financial Advisors	4	3
13-2052	1.C.5.a	Dependability	90.799999237	197,580	Business and financial operations	89160		Personal Financial Advisors	4	1
13-2052	1.C.5.b	Attention to Detail	88.599996567	197,580	Business and financial operations	89160		Personal Financial Advisors	4	2
13-2052	1.C.5.c	Integrity	97.79999733	197,580	Business and financial operations	89160		Personal Financial Advisors	4	0
13-2052	1.C.6	Independence	75	197,580	Business and financial operations	89160		Personal Financial Advisors	4	2
13-2052	1.C.7.a	Innovation	62.800002098	197,580	Business and financial operations	89160		Personal Financial Advisors	4	3
13-2052	1.C.7.b	Analytical Thinking	86.400003433	197,580	Business and financial operations	89160		Personal Financial Advisors	4	1
13-2053	1.C.1.a	Achievement/Effort	80	89,960	Business and financial operations	65040		Insurance Underwriters	4	2
13-2053	1.C.1.b	Persistence	79.200000763	89,960	Business and financial operations	65040		Insurance Underwriters	4	2
13-2053	1.C.1.c	Initiative	79.200000763	89,960	Business and financial operations	65040		Insurance Underwriters	4	3
13-2053	1.C.2.b	Leadership	69.200000763	89,960	Business and financial operations	65040		Insurance Underwriters	4	3
13-2053	1.C.3.a	Cooperation	83.000001907	89,960	Business and financial operations	65040		Insurance Underwriters	4	2
13-2053	1.C.3.b	Concern for Others	65.399999619	89,960	Business and financial operations	65040		Insurance Underwriters	4	3
13-2053	1.C.3.c	Social Orientation	52.399997711	89,960	Business and financial operations	65040		Insurance Underwriters	4	3
13-2053	1.C.4.a	Self Control	83.800001144	89,960	Business and financial operations	65040		Insurance Underwriters	4	1
13-2053	1.C.4.b	Stress Tolerance	83.000001907	89,960	Business and financial operations	65040		Insurance Underwriters	4	1
13-2053	1.C.4.c	Adaptability/Flexibility	82.399997711	89,960	Business and financial operations	65040		Insurance Underwriters	4	2
13-2053	1.C.5.a	Dependability	93.800001144	89,960	Business and financial operations	65040		Insurance Underwriters	4	0
13-2053	1.C.5.b	Attention to Detail	96.999998093	89,960	Business and financial operations	65040		Insurance Underwriters	4	0
13-2053	1.C.5.c	Integrity	96.999998093	89,960	Business and financial operations	65040		Insurance Underwriters	4	0
13-2053	1.C.6	Independence	77.600002289	89,960	Business and financial operations	65040		Insurance Underwriters	4	2
13-2053	1.C.7.a	Innovation	59.200000763	89,960	Business and financial operations	65040		Insurance Underwriters	4	3
13-2053	1.C.7.b	Analytical Thinking	91.599998474	89,960	Business and financial operations	65040		Insurance Underwriters	4	0
13-2061	1.C.1.a	Achievement/Effort	82.399997711	44,200	Business and financial operations	78010		Financial Examiners	4	1
13-2061	1.C.1.b	Persistence	79.200000763	44,200	Business and financial operations	78010		Financial Examiners	4	2
13-2061	1.C.1.c	Initiative	81.599998474	44,200	Business and financial operations	78010		Financial Examiners	4	3
13-2061	1.C.2.b	Leadership	81.599998474	44,200	Business and financial operations	78010		Financial Examiners	4	1
13-2061	1.C.3.a	Cooperation	83.199996948	44,200	Business and financial operations	78010		Financial Examiners	4	2
13-2061	1.C.3.b	Concern for Others	64.800000191	44,200	Business and financial operations	78010		Financial Examiners	4	3
13-2061	1.C.3.c	Social Orientation	60.799999237	44,200	Business and financial operations	78010		Financial Examiners	4	2
13-2061	1.C.4.a	Self Control	86.400003433	44,200	Business and financial operations	78010		Financial Examiners	4	1
13-2061	1.C.4.b	Stress Tolerance	84.799995422	44,200	Business and financial operations	78010		Financial Examiners	4	1
13-2061	1.C.4.c	Adaptability/Flexibility	80	44,200	Business and financial operations	78010		Financial Examiners	4	2
13-2061	1.C.5.a	Dependability	89.600000381	44,200	Business and financial operations	78010		Financial Examiners	4	2
13-2061	1.C.5.b	Attention to Detail	89.600000381	44,200	Business and financial operations	78010		Financial Examiners	4	2
13-2061	1.C.5.c	Integrity	97.600002289	44,200	Business and financial operations	78010		Financial Examiners	4	0
13-2061	1.C.6	Independence	79.200000763	44,200	Business and financial operations	78010		Financial Examiners	4	1
13-2061	1.C.7.a	Innovation	60	44,200	Business and financial operations	78010		Financial Examiners	4	3
13-2061	1.C.7.b	Analytical Thinking	92.79999733	44,200	Business and financial operations	78010		Financial Examiners	4	0
13-2071	1.C.1.a	Achievement/Effort	77.800002098	30,510	Business and financial operations	43840		Credit Counselors	4	2
13-2071	1.C.1.b	Persistence	74.900000095	30,510	Business and financial operations	43840		Credit Counselors	4	3
13-2071	1.C.1.c	Initiative	81.699998379	30,510	Business and financial operations	43840		Credit Counselors	4	2
13-2071	1.C.2.b	Leadership	70.499999523	30,510	Business and financial operations	43840		Credit Counselors	4	3
13-2071	1.C.3.a	Cooperation	85	30,510	Business and financial operations	43840		Credit Counselors	4	1
13-2071	1.C.3.b	Concern for Others	88.299999237	30,510	Business and financial operations	43840		Credit Counselors	4	0
13-2071	1.C.3.c	Social Orientation	81.300001144	30,510	Business and financial operations	43840		Credit Counselors	4	0
13-2071	1.C.4.a	Self Control	85.700001717	30,510	Business and financial operations	43840		Credit Counselors	4	1
13-2071	1.C.4.b	Stress Tolerance	87.899999619	30,510	Business and financial operations	43840		Credit Counselors	4	1
13-2071	1.C.4.c	Adaptability/Flexibility	87.300000191	30,510	Business and financial operations	43840		Credit Counselors	4	1
13-2071	1.C.5.a	Dependability	86.599998474	30,510	Business and financial operations	43840		Credit Counselors	4	3
13-2071	1.C.5.b	Attention to Detail	85.900001526	30,510	Business and financial operations	43840		Credit Counselors	4	3
13-2071	1.C.5.c	Integrity	92.300000191	30,510	Business and financial operations	43840		Credit Counselors	4	1
13-2071	1.C.6	Independence	74.500000477	30,510	Business and financial operations	43840		Credit Counselors	4	3
13-2071	1.C.7.a	Innovation	68.899998665	30,510	Business and financial operations	43840		Credit Counselors	4	3
13-2071	1.C.7.b	Analytical Thinking	78.900001049	30,510	Business and financial operations	43840		Credit Counselors	4	2
13-2072	1.C.1.a	Achievement/Effort	86.800003052	303,870	Business and financial operations	63430		Loan Officers	3	0
13-2072	1.C.1.b	Persistence	82.20000267	303,870	Business and financial operations	63430		Loan Officers	3	0
13-2072	1.C.1.c	Initiative	85.600004196	303,870	Business and financial operations	63430		Loan Officers	3	0
13-2072	1.C.2.b	Leadership	77.199997902	303,870	Business and financial operations	63430		Loan Officers	3	1
13-2072	1.C.3.a	Cooperation	82.399997711	303,870	Business and financial operations	63430		Loan Officers	3	2
13-2072	1.C.3.b	Concern for Others	78.400001526	303,870	Business and financial operations	63430		Loan Officers	3	1
13-2072	1.C.3.c	Social Orientation	75.599999428	303,870	Business and financial operations	63430		Loan Officers	3	1
13-2072	1.C.4.a	Self Control	83.400001526	303,870	Business and financial operations	63430		Loan Officers	3	1
13-2072	1.C.4.b	Stress Tolerance	88.199996948	303,870	Business and financial operations	63430		Loan Officers	3	0
13-2072	1.C.4.c	Adaptability/Flexibility	80.799999237	303,870	Business and financial operations	63430		Loan Officers	3	2
13-2072	1.C.5.a	Dependability	86.800003052	303,870	Business and financial operations	63430		Loan Officers	3	2
13-2072	1.C.5.b	Attention to Detail	88.199996948	303,870	Business and financial operations	63430		Loan Officers	3	2
13-2072	1.C.5.c	Integrity	93.199996948	303,870	Business and financial operations	63430		Loan Officers	3	0
13-2072	1.C.6	Independence	79.600000381	303,870	Business and financial operations	63430		Loan Officers	3	1
13-2072	1.C.7.a	Innovation	73.000001907	303,870	Business and financial operations	63430		Loan Officers	3	1
13-2072	1.C.7.b	Analytical Thinking	84.799995422	303,870	Business and financial operations	63430		Loan Officers	3	0
13-2081	1.C.1.a	Achievement/Effort	81.800003052	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	0
13-2081	1.C.1.b	Persistence	78.200001717	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	2
13-2081	1.C.1.c	Initiative	83.599996567	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	1
13-2081	1.C.2.b	Leadership	76.399998665	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	1
13-2081	1.C.3.a	Cooperation	86.199998856	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	1
13-2081	1.C.3.b	Concern for Others	80.799999237	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	1
13-2081	1.C.3.c	Social Orientation	75.999999046	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	1
13-2081	1.C.4.a	Self Control	90.399999619	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	0
13-2081	1.C.4.b	Stress Tolerance	87.399997711	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	0
13-2081	1.C.4.c	Adaptability/Flexibility	84.399995804	59,640	Business and financial operations	51430		Tax Examiners and Collectors, and Revenue Agents	3	1
